llm_use_1,init_confidence_1,qta_trust_init_1,answer_confidence_1,helpfulness_1,qta_trust_1,frustration_mistakes_1,reflect_help_1,help_other_topics_1,interact_again_1,final_confidence_1,instruct,question,ask_qta,worked_example,reflect,total_score,serializability.x,conflict_serializability.x,recoverability.x,avoid_cascading_abort.x,final_total_score,serializability.y,conflict_serializability.y,recoverability.y,avoid_cascading_abort.y
"Yes, occasionally",5,5,3,4,5,2,5,4,5,5,1,1,0,1,1,66.66666667,50,50,50,50,70,100,40,80,60
"Yes, occasionally",5,3,3,6,5,2,NA,6,5,4,1,0,1,1,0,50,25,50,50,25,60,60,60,80,40
"Yes, occasionally",2,2,5,3,4,5,NA,6,5,6,1,1,1,0,0,25,0,0,50,25,45,40,40,60,40
"Yes, regularly",6,5,4,5,6,3,NA,5,3,4,1,1,0,0,0,16.66666667,0,0,0,50,45,80,40,60,0
"Yes, occasionally",5,4,5,6,6,5,NA,5,4,4,1,0,0,1,0,58.33333333,50,50,50,25,50,0,60,100,40
"No, never",4,4,4,6,5,1,NA,7,7,4,1,1,1,1,0,66.66666667,50,50,50,50,75,80,60,100,60
"Yes, occasionally",4,4,3,3,3,4,NA,4,5,3,1,1,1,0,0,58.33333333,50,50,50,25,60,100,60,40,40
"Yes, occasionally",4,2,4,5,5,2,NA,6,6,4,1,0,0,0,0,66.66666667,50,50,50,50,70,100,60,60,60
"Yes, occasionally",2,3,2,2,2,6,NA,5,6,2,1,1,0,1,0,58.33333333,50,50,75,0,60,60,40,80,60
"Yes, occasionally",2,4,2,3,2,5,6,5,6,4,1,0,0,0,1,66.66666667,50,50,50,50,40,80,40,20,20
"No, never",6,3,5,5,6,4,NA,6,5,6,1,0,1,0,0,75,75,50,50,50,55,80,40,60,40
"Yes, occasionally",5,4,3,3,4,3,NA,4,3,4,1,1,0,1,0,66.66666667,50,75,25,50,60,60,60,80,40
"Yes, occasionally",5,2,5,2,3,4,4,3,4,5,1,0,1,0,1,83.33333333,75,75,50,50,75,100,60,80,60
"Yes, occasionally",3,6,1,4,3,7,3,3,2,2,1,0,0,1,1,41.66666667,25,25,25,50,60,60,60,60,60
"Yes, occasionally",2,4,5,7,6,4,NA,7,6,4,1,1,1,1,0,66.66666667,50,50,50,50,55,60,60,60,40
"Yes, once",4,6,4,6,4,3,NA,6,6,4,1,1,0,0,0,66.66666667,50,50,50,50,50,40,40,40,80
"Yes, occasionally",5,5,4,5,4,3,5,5,4,6,1,0,0,0,1,66.66666667,50,50,75,25,50,40,60,60,40
"Yes, once",4,1,1,4,5,3,7,5,6,5,1,1,1,1,1,66.66666667,50,50,50,50,50,60,60,40,40
"Yes, occasionally",5,5,2,5,6,3,NA,5,7,4,1,1,1,1,0,41.66666667,50,25,25,25,70,40,60,80,100
"Yes, occasionally",5,3,4,5,5,5,NA,5,4,3,1,1,1,0,0,66.66666667,50,50,50,50,40,40,40,40,40
"Yes, occasionally",1,4,2,7,5,7,7,7,7,5,1,1,0,1,1,50,50,25,25,50,70,80,60,80,60
"Yes, regularly",5,5,5,6,6,7,NA,7,7,7,1,0,0,1,0,50,50,50,25,25,40,20,60,40,40
"Yes, once",2,5,5,6,5,4,6,6,7,5,1,0,0,0,1,58.33333333,50,50,50,25,55,80,60,40,40
"Yes, occasionally",2,4,6,7,5,2,NA,5,5,5,1,1,1,0,0,58.33333333,50,50,25,50,70,80,60,80,60
"Yes, regularly",5,6,5,5,6,7,6,5,5,5,1,0,0,1,1,58.33333333,50,50,25,50,80,100,60,80,80
"Yes, regularly",5,3,5,5,3,2,NA,4,6,4,1,1,0,0,0,66.66666667,50,50,50,50,45,40,40,40,60
"Yes, once",5,5,4,4,6,3,NA,5,6,5,1,0,0,1,0,50,50,50,25,25,60,100,40,80,20
"Yes, once",3,1,2,2,2,7,2,3,4,2,1,0,0,1,1,66.66666667,50,50,50,50,75,100,60,80,60
"Yes, regularly",1,6,1,4,5,7,NA,4,5,1,1,1,0,0,0,58.33333333,50,25,50,50,45,20,40,60,60
"Yes, once",1,1,4,6,6,2,NA,7,7,6,1,1,1,1,0,58.33333333,50,50,50,25,45,60,40,40,40
"Yes, occasionally",5,6,7,6,5,6,NA,4,6,6,1,1,0,0,0,41.66666667,50,25,50,0,80,80,80,60,100
"No, never",5,6,4,5,5,1,6,6,7,5,1,1,1,0,1,41.66666667,25,25,25,50,60,40,60,80,60
"Yes, once",4,1,2,6,6,4,NA,7,5,4,1,0,0,1,0,66.66666667,75,50,50,25,25,20,20,40,20
"Yes, regularly",4,5,3,4,4,5,5,5,6,4,1,0,0,0,1,66.66666667,50,25,50,75,60,20,60,100,60
"Yes, occasionally",4,6,2,4,4,4,4,4,4,1,1,1,1,0,1,50,50,50,25,25,45,40,40,60,40
"Yes, regularly",1,4,1,3,2,7,NA,6,5,2,1,1,1,0,0,66.66666667,50,50,50,50,35,60,60,20,0
"Yes, occasionally",5,5,4,5,6,3,6,7,7,5,1,1,0,0,1,66.66666667,50,50,50,50,55,40,80,60,40
"No, never",2,2,5,6,5,4,3,6,6,4,1,0,1,1,1,75,50,75,50,50,85,100,80,80,80
"Yes, occasionally",5,2,6,7,4,5,NA,3,3,4,1,0,0,1,0,66.66666667,50,50,50,50,45,0,40,80,60
"Yes, occasionally",5,3,5,5,4,4,NA,5,6,4,1,1,0,0,0,58.33333333,50,50,50,25,65,100,40,60,60
"Yes, regularly",7,7,5,7,5,3,NA,4,5,4,1,1,1,1,0,75,50,75,75,25,65,60,40,100,60
"Yes, regularly",4,5,5,6,6,4,7,7,7,6,1,0,0,1,1,50,50,25,25,50,60,60,60,80,40
"Yes, occasionally",4,3,5,6,5,2,NA,7,7,4,1,1,1,1,0,83.33333333,75,75,50,50,75,80,60,80,80
"Yes, once",3,4,5,6,5,3,5,6,6,5,1,1,1,0,1,50,50,50,25,25,45,60,60,40,20
"Yes, occasionally",5,5,4,4,4,5,5,5,5,4,1,0,0,1,1,100,75,75,75,75,70,60,60,100,60
"No, never",5,3,5,7,6,7,NA,6,6,6,1,0,0,1,0,66.66666667,50,50,50,50,40,60,20,40,40
"Yes, occasionally",5,3,5,5,6,5,6,6,6,6,1,1,1,1,1,83.33333333,50,50,75,75,65,40,60,100,60
"Yes, occasionally",3,6,3,4,4,4,NA,4,4,4,1,1,0,1,0,66.66666667,50,50,50,50,40,40,60,40,20
"Yes, occasionally",3,3,4,5,5,4,6,7,7,4,1,1,1,1,1,33.33333333,25,25,25,25,55,80,60,40,40
"Yes, occasionally",2,3,3,5,5,2,NA,7,5,3,1,1,1,1,0,66.66666667,50,50,50,50,50,40,60,40,60
"Yes, occasionally",5,3,4,3,4,7,NA,3,1,3,1,0,1,0,0,50,50,75,25,0,50,60,80,40,20
"Yes, regularly",7,7,6,4,2,7,NA,2,2,5,1,0,0,1,0,58.33333333,50,50,50,25,60,60,60,60,60
"Yes, occasionally",5,4,2,3,4,4,4,7,7,4,1,1,0,1,1,83.33333333,75,75,50,50,50,60,60,40,40
"Yes, occasionally",1,3,3,3,3,6,2,4,5,3,1,0,0,1,1,50,50,50,25,25,40,40,60,40,20
"Yes, occasionally",1,3,2,5,4,7,6,5,7,2,1,1,0,1,1,25,25,25,25,0,50,60,40,60,40
"Yes, regularly",6,4,4,5,6,7,NA,5,6,6,1,1,0,0,0,66.66666667,50,50,50,50,70,60,60,100,60
"Yes, regularly",2,5,3,3,3,3,NA,3,3,3,1,0,1,0,0,58.33333333,50,25,50,50,50,80,40,40,40
"Yes, occasionally",6,5,5,5,5,4,5,5,7,5,1,0,0,0,1,58.33333333,50,50,25,50,55,60,60,60,40
"Yes, regularly",5,5,4,5,5,2,NA,6,4,5,1,1,1,0,0,100,75,75,75,75,40,60,40,0,60
"Yes, occasionally",5,3,4,4,5,4,6,3,2,5,1,0,1,0,1,41.66666667,25,25,25,50,35,40,60,40,0
"Yes, occasionally",6,4,4,6,6,4,7,7,7,7,1,1,0,1,1,66.66666667,50,50,50,50,70,60,60,80,80
"No, never",3,3,5,7,6,2,NA,7,7,7,1,1,0,0,0,58.33333333,75,25,50,25,45,40,40,60,40
"Yes, regularly",3,4,2,3,3,5,6,6,6,6,1,0,0,1,1,50,50,50,25,25,0,0,0,0,0
"Yes, occasionally",4,4,3,4,5,1,4,5,3,3,1,1,1,0,1,83.33333333,75,50,50,75,45,40,40,40,60
"Yes, regularly",3,6,5,6,7,2,7,6,7,5,1,0,1,1,1,58.33333333,50,50,50,25,60,60,60,60,60
"Yes, once",2,1,5,7,3,3,NA,7,7,5,1,0,0,1,0,58.33333333,50,50,25,50,65,60,60,80,60
"Yes, once",5,3,3,7,6,5,7,7,7,5,1,1,0,1,1,66.66666667,50,75,50,25,45,100,60,20,0
"Yes, occasionally",4,4,3,4,5,5,4,6,6,6,1,0,0,0,1,66.66666667,50,50,50,50,65,60,60,80,60
"No, never",3,4,4,6,6,4,NA,6,6,5,1,1,0,1,0,66.66666667,50,50,50,50,75,80,60,80,80
"Yes, once",3,3,2,4,4,3,NA,6,6,3,1,0,0,1,0,41.66666667,50,0,25,50,40,60,60,20,20
"Yes, occasionally",2,3,6,3,4,3,NA,4,3,5,1,0,0,0,0,16.66666667,0,0,0,50,25,20,20,20,40
"Yes, occasionally",4,1,2,3,4,6,5,4,4,2,1,1,1,1,1,66.66666667,50,50,50,50,50,60,60,40,40
"Yes, occasionally",3,5,3,4,4,6,5,3,4,4,1,1,0,1,1,33.33333333,25,0,25,50,65,80,60,40,80
"Yes, regularly",5,2,5,6,5,5,7,7,7,6,1,0,0,1,1,50,50,50,25,25,60,40,60,80,60
"Yes, occasionally",3,4,2,1,5,6,NA,7,7,3,0,0,0,1,0,41.66666667,50,25,25,25,65,80,60,60,60
"Yes, occasionally",5,4,3,7,7,5,7,7,7,5,0,1,1,0,1,50,50,50,25,25,55,40,60,60,60
"Yes, occasionally",3,1,5,6,5,3,7,4,7,5,0,0,1,1,1,58.33333333,50,50,50,25,35,20,60,40,20
"Yes, occasionally",5,1,5,1,1,4,3,1,3,4,0,1,1,0,1,75,50,75,50,50,70,60,80,80,60
"No, never",5,2,4,5,3,1,5,5,5,6,0,1,0,0,1,83.33333333,75,75,50,50,75,80,60,80,80
"Yes, occasionally",4,5,3,4,4,5,NA,6,6,4,0,0,0,1,0,33.33333333,25,25,50,0,40,80,60,20,0
"No, never",4,1,1,1,1,6,NA,2,4,4,0,1,1,0,0,66.66666667,50,50,50,50,65,60,60,80,60
"Yes, regularly",4,3,5,7,6,5,7,7,7,6,0,1,1,0,1,58.33333333,50,25,50,50,70,80,60,80,60
"No, never",5,3,4,5,6,4,NA,4,6,3,0,0,1,0,0,66.66666667,50,50,50,50,50,40,60,60,40
"No, never",2,3,6,7,5,5,NA,7,7,6,0,1,0,1,0,66.66666667,75,50,50,25,55,60,60,60,40
"Yes, occasionally",4,6,4,4,4,3,4,4,4,4,0,1,0,1,1,50,50,50,50,0,90,100,100,80,80
"Yes, occasionally",5,2,3,2,2,5,6,5,4,5,0,0,1,1,1,41.66666667,25,25,50,25,70,80,80,60,60
"Yes, occasionally",5,1,3,2,2,7,NA,1,1,4,0,1,0,0,0,75,50,50,50,75,55,40,40,80,60
"No, never",5,4,5,5,6,5,5,5,6,4,0,1,1,1,1,50,50,25,50,25,40,60,20,60,20
"Yes, occasionally",5,4,5,4,4,2,4,5,5,4,0,0,1,0,1,66.66666667,50,50,50,50,60,80,60,60,40
"Yes, occasionally",5,4,1,2,4,1,4,7,7,2,0,0,1,1,1,16.66666667,0,0,50,0,65,80,60,60,60
"Yes, occasionally",4,5,5,6,7,3,NA,7,7,4,0,1,1,0,0,58.33333333,50,50,50,25,50,80,60,40,20
"Yes, occasionally",6,4,6,4,5,7,NA,5,6,6,0,0,1,1,0,50,25,25,25,75,70,60,60,100,60
"Yes, occasionally",4,2,1,3,3,6,7,7,7,3,0,0,0,0,1,50,25,25,25,75,50,80,40,40,40
"Yes, occasionally",4,2,1,3,4,1,NA,5,5,1,0,0,1,1,0,58.33333333,50,50,25,50,40,60,60,20,20
"Yes, occasionally",4,4,4,3,2,1,NA,2,1,4,0,0,1,1,0,50,50,50,25,25,65,40,60,100,60
"Yes, regularly",6,5,3,5,5,5,5,5,5,4,0,1,1,0,1,66.66666667,50,50,50,50,60,40,40,60,100
"Yes, occasionally",4,3,3,5,5,3,6,5,5,5,0,0,0,0,1,50,50,0,50,50,25,20,60,20,0
"No, never",1,1,1,4,2,7,NA,2,1,1,0,1,1,0,0,75,75,75,50,25,35,60,40,20,20
"No, never",5,2,2,3,3,2,NA,2,5,2,0,0,1,0,0,75,75,75,50,25,60,100,60,40,40
"No, never",3,3,4,4,3,6,3,3,3,4,0,1,1,0,1,58.33333333,50,50,50,25,55,80,60,40,40
"Yes, once",4,2,3,4,3,7,NA,7,5,3,0,1,1,1,0,58.33333333,50,50,50,25,30,60,60,0,0
"Yes, occasionally",5,5,5,6,6,6,7,7,7,6,0,0,0,1,1,66.66666667,50,50,75,25,75,100,60,80,60
"Yes, occasionally",5,4,5,6,5,4,NA,6,6,4,0,0,1,0,0,50,50,50,50,0,60,40,60,80,60
"Yes, occasionally",4,3,4,5,5,1,NA,6,6,5,0,1,1,1,0,83.33333333,75,75,50,50,60,40,60,80,60
"Yes, regularly",5,4,4,5,4,4,5,5,4,2,0,0,0,1,1,16.66666667,0,0,50,0,35,40,60,20,20
"Yes, regularly",3,2,4,2,2,6,5,6,6,4,0,1,0,0,1,58.33333333,50,50,50,25,65,60,60,80,60
"Yes, occasionally",5,5,5,3,2,5,NA,2,7,5,0,1,1,0,0,83.33333333,75,75,50,50,80,100,60,100,60
"Yes, occasionally",4,4,4,4,4,5,NA,5,3,4,0,0,1,0,0,58.33333333,50,50,25,50,50,40,40,60,60
"Yes, occasionally",5,6,5,6,6,3,NA,7,7,6,0,1,0,0,0,66.66666667,50,50,25,75,55,60,60,40,60
"No, never",6,4,6,7,6,3,7,6,7,6,0,0,1,0,1,66.66666667,50,50,50,50,50,20,60,60,60
"Yes, occasionally",5,2,1,1,1,1,NA,3,3,5,0,0,1,1,0,58.33333333,50,50,50,25,70,80,60,80,60
"Yes, occasionally",5,4,3,4,4,6,7,7,7,5,0,0,0,1,1,58.33333333,50,25,50,50,60,80,60,60,40
"Yes, regularly",3,3,3,6,4,2,6,6,6,4,0,0,1,1,1,66.66666667,50,50,50,50,65,40,40,100,80
"No, never",2,5,5,7,6,1,NA,7,3,5,0,1,1,0,0,58.33333333,50,75,25,25,55,60,40,80,40
"Yes, occasionally",3,2,3,4,4,3,NA,4,2,2,0,0,0,1,0,66.66666667,50,50,50,50,60,60,60,80,40
"Yes, once",4,1,3,5,5,5,6,3,6,4,0,0,0,1,1,75,75,50,50,50,40,40,40,80,0
"Yes, occasionally",5,5,5,6,6,7,NA,7,6,5,0,1,1,1,0,8.333333333,0,0,0,25,55,60,60,60,40
"Yes, occasionally",5,5,4,5,4,4,NA,5,5,5,0,0,0,0,0,66.66666667,50,50,50,50,55,40,40,80,60
"Yes, occasionally",2,4,2,6,4,6,NA,7,7,2,0,0,0,0,0,50,50,50,25,25,55,40,60,60,60
"Yes, occasionally",4,1,5,7,4,7,7,7,6,6,0,1,1,0,1,41.66666667,50,25,25,25,60,60,40,60,80
"Yes, once",5,4,5,6,6,5,7,7,7,6,0,0,1,0,1,58.33333333,50,50,25,50,55,60,60,60,40
"Yes, once",4,3,2,5,5,5,NA,4,5,3,0,0,1,0,0,75,50,75,50,50,70,40,40,100,100
"No, never",3,2,5,6,6,4,NA,6,6,2,0,0,0,1,0,33.33333333,25,25,25,25,60,80,60,60,40
"Yes, occasionally",4,1,5,5,4,5,NA,6,6,4,0,1,1,0,0,58.33333333,50,50,25,50,40,40,80,20,20
"Yes, occasionally",3,4,2,3,3,5,5,5,4,2,0,1,1,0,1,41.66666667,50,0,50,25,65,80,60,60,60
"No, never",5,2,5,1,4,5,6,5,5,5,0,0,0,0,1,83.33333333,50,50,75,75,70,60,60,80,80
"Yes, occasionally",4,5,4,2,2,6,NA,3,2,4,0,1,1,1,0,91.66666667,75,50,75,75,65,60,60,80,60
"Yes, occasionally",7,4,6,5,6,6,6,7,7,7,0,1,0,0,1,83.33333333,50,50,75,75,75,100,60,80,60
"Yes, once",4,6,6,7,6,7,NA,6,6,4,0,0,0,1,0,50,50,50,25,25,45,40,20,60,60
"Yes, once",5,6,7,7,6,4,NA,6,6,5,0,1,1,1,0,16.66666667,0,0,0,50,45,60,60,60,0
"Yes, once",5,1,5,1,1,6,4,2,1,4,0,1,1,0,1,83.33333333,75,75,50,50,50,40,20,80,60
"No, never",4,2,3,4,3,6,6,4,5,4,0,1,1,0,1,33.33333333,50,50,0,0,60,60,60,60,60
"Yes, once",6,3,5,7,7,5,NA,7,7,5,0,0,1,1,0,66.66666667,75,25,50,50,30,20,20,40,40
"No, never",4,5,4,5,5,5,6,6,6,7,0,1,1,0,1,58.33333333,50,50,50,25,60,80,60,40,60
"Yes, once",5,1,4,3,4,2,NA,4,5,6,0,1,1,0,0,83.33333333,75,75,50,50,70,80,80,60,60
"Yes, regularly",3,4,4,6,6,3,NA,5,5,4,0,0,1,0,0,75,50,75,50,50,45,60,40,40,40
"Yes, regularly",4,3,5,5,7,4,NA,7,7,5,0,0,0,0,0,58.33333333,50,50,25,50,50,20,40,80,60
"Yes, once",6,2,1,6,6,5,5,7,7,6,0,0,1,1,1,91.66666667,75,75,75,50,50,80,60,40,20
"Yes, regularly",5,7,6,7,7,2,7,7,7,5,0,1,0,1,1,66.66666667,50,50,50,50,60,60,60,80,40
"No, never",7,3,6,7,7,3,NA,7,7,5,0,0,1,0,0,50,50,50,25,25,55,60,60,60,40
"Yes, once",6,4,4,6,5,3,NA,6,7,6,0,1,0,1,0,58.33333333,50,50,50,25,65,60,60,60,80
"Yes, occasionally",5,4,6,6,5,7,NA,5,6,5,0,0,1,0,0,66.66666667,50,50,50,50,50,60,60,60,20
"No, never",4,2,4,4,6,7,5,4,7,5,0,0,0,1,1,33.33333333,25,25,25,25,50,60,20,80,40
"Yes, once",4,4,1,3,3,2,NA,7,1,4,0,0,1,1,0,50,50,50,25,25,35,60,20,40,20
"No, never",2,1,1,1,1,1,NA,1,1,1,0,0,0,1,0,50,50,50,25,25,65,60,80,40,80
